"sitecode","countrycode","perclogged","site_ha","area_ha_2001","area_ha_2002","area_ha_2003","area_ha_2004","area_ha_2005","area_ha_2006","area_ha_2007","area_ha_2008","area_ha_2009","area_ha_2010","area_ha_2011","area_ha_2012","area_ha_2013","area_ha_2014","area_ha_2015","area_ha_2016","area_ha_2017","area_ha_2018","area_ha_2019","area_ha_2020","area_ha_2021","area_ha_2022","area_ha_2023","most_disturbed_year","most_disturbed_year_ha","sitename"
"BE33015C0","BE",0.0434018528298302,884.43,0.00886971116065979,0.27,0.00557876106351614,1.98,2.11235342017142,1.63155991349369,2.42434833779465,1.86300600707531,0.72,8.01108398656303,1.34233886003494,1.4522615349479,0.17399795114994,0.09,0,0.09,0.261101812329143,0.408259301015642,1.50606011476368,2.54851571610372,5.89088991659693,3.41368649974465,2.18198885427788,2010,8.01108398656303,"Bois d'Anthisnes et d'Esneux"
"BE33032C0","BE",0.120326607440866,985.98,1.71523631840944,0.891856445695739,1.78992089420557,6.37961366183124,2.61322310864925,6.42667493154877,15.5813334739488,4.68128293275833,3.46358968167566,14.85531600466,1.84228988796473,5.55559137560427,10.5668631528318,12.1818953946233,9.33725832693279,3.36450220976025,10.6774299839028,0.499827357977629,0.457070917524397,0.540900911050849,2.59916355252688,0.225113490968943,2.39367438949412,2007,15.5813334739488,"Fagnes de Malchamps et de Stoumont"
"BE33040C0","BE",0.172936170549567,1264,0,0.0393510907888412,2.95854881554842,5.08525630988181,0,2.02334416265599,1.05240492001176,24.2765463856061,3.50945514473598,21.1532964956213,15.7744822135569,11.225847469344,4.44209807960317,24.9583620434906,11.3448788371385,28.8944689282841,12.5259936940229,15.012661078528,11.0360101173178,2.87710687975399,4.46085658144963,5.87163993735798,10.0687103899545,2016,28.8944689282841,"Fagnes de Stavelot et vallée de l'Eau Rouge"
"BE34049C0","BE",0.105636970130953,2909.08,0.09,6.2636704989709,7.45944752370939,14.2732355934586,7.31104447115416,31.7597431496833,13.4811165600666,12.409579353188,6.03331255638041,43.9348372940492,7.44199874633143,13.1515528264269,8.72125599649502,10.575631046081,8.79793163846713,9.32533554203867,6.67804182332475,7.00325875380076,3.42737953810953,20.5604855708219,36.303679153262,13.0151693722201,19.2886900605122,2010,43.9348372940492,"Basse-Vierre"
"BE34050C0","BE",0.0665480368124636,3064.33,0,4.77590572475223,3.14401572883129,5.45553724654019,4.60118371725082,14.8788830397039,6.2446317116576,12.7149023758247,8.19376631498337,32.6211250999743,4.73741165533662,8.04114210728556,1.78367899427307,3.36059622569941,11.1770964089991,4.14555617585778,2.99297740537673,12.8199642381719,3.34766924399883,14.6202756796003,25.7130128101422,8.54934767872095,10.0064660625556,2010,32.6211250999743,"Bassin de la Semois entre Tintigny et Jamoigne"
"BE34051C0","BE",0.0776928098556982,1570.09,0.072778654396534,4.6994214168191,3.93662024885416,7.94499601128045,6.18862990552559,5.72908545836806,1.44171982788626,4.9656879780069,3.97727593998774,22.9252258440729,3.38636845655506,5.81379506113473,1.14004912912846,5.23110453480505,1.95632807956135,5.83713188919093,1.73166444507893,0.900612227871461,1.59448530234396,7.27111498902552,15.9391891828588,3.06492382551864,6.2364954180626,2010,22.9252258440729,"Vallées du Ruisseau de Mellier et de la Mandebras"
"BE34058C0","BE",0.102255758135123,2276.18,0,0,0.479807713329792,3.39139376589563,0.00041887894738465,19.0598639809666,42.9932569934428,28.643763028651,2.63981420896947,12.6063805865776,6.95840650535887,1.90079075995127,0.677455997415818,3.24292450468987,4.89363311385736,0.884815204676706,4.37877404484898,1.19049135200679,3.42045523881039,13.4146245496999,62.9483709015552,8.98019095182186,10.0468792705319,2021,62.9483709015552,"Camp militaire de Lagland"
"BE34060C0","BE",0.0542054424658946,1356.99,0,0.18,0.0318036630749702,4.62581559246406,1.62356299329578,1.80769297845662,1.29622875139117,4.19006108761474,1.22420881412923,9.91345289798104,0,2.74976226110011,1.08,1.50058468043804,0.0906382494885474,1.62,0.48551509603858,0.698013943433762,1.40038770496845,5.67746638082899,24.6619438225636,5.89794386722147,2.8011605873052,2021,24.6619438225636,"Bassin supérieur de la Chevratte"
"BE34061C0","BE",0.0598590667730198,2829.97,0.121741135418415,0,0.681065513938665,4.66714670956135,3.15,9.77902223833487,14.8005852334946,31.0749499591347,1.852339848876,4.92564639106393,0.839912700355053,2.55550877113499,2.52,3.12333421558142,6.29240538418293,2.12903845119872,4.33402268102509,3.25937265459448,4.22606580477906,9.83415647816146,34.6207482371832,7.94365523630753,16.6686455513164,2021,34.6207482371832,"Vallées de Laclaireau et du Rabais"
"BG0000102","BG",0.0116473360098922,18459.23,10.98,20.88,9.45,2.7,3.69,3.78843255937099,14.31,1.98,4.05,1.08,6.12735511668026,8.19,4.50218847602606,9.4127913531661,7.02,6.84,7.52338663189867,10.8910050054453,18.5855775332451,3.96,25.1093047875166,20.2927395898104,13.6380732407235,2021,25.1093047875166,"Dolinata na reka Batova"
"BG0000104","BG",0.011255854948542,50158.57,8.37,13.7249327999353,25.5170089752227,32.1357385885343,5.04,11.7864367067814,12.0719351964153,2.79,17.46,20.45178039819,20.25,67.6018956291676,14.1183663800731,58.0182503217459,11.8520637577772,6.93,20.9330987557769,21.69,25.2756144118309,56.6509663881361,69.1690883223899,7.2,35.5404117143154,2021,69.1690883223899,"Provadiysko - Royaksko plato"
